txn_id,posted_date,amount,running_balance,txn_type,description,check_number,account
BK00023,2026-02-16,-11530.19,491924.54,ACH_DEBIT,ACH DEBIT BRIGHTLINE LOG ID:INV-7701,,Operating ****0042
BK00024,2026-02-18,67484.3,559408.84,ACH_CREDIT,ACH CREDIT GRANITE RIDGE TRN 1239161,,Operating ****0042
BK00025,2026-02-23,60049.71,619458.55,ACH_CREDIT,ACH CREDIT STRATOS AERO TRN 2108141,,Operating ****0042
BK00026,2026-02-23,-2149.09,617309.46,CHECK,CHECK 1025,1025,Operating ****0042
BK00027,2026-02-23,-17462.61,599846.85,WIRE_OUT,WIRE OUT CLOUDNIMBUS INC BNF ACCT ****4410 REF 739906,,Operating ****0042
BK00028,2026-02-27,301.9,600148.75,INTEREST,INTEREST PAYMENT,,Operating ****0042
BK00029,2026-02-27,-45.0,600103.75,FEE,MONTHLY SERVICE FEE ANALYSIS,,Operating ****0042
BK00030,2026-02-27,-9701.76,590401.99,ACH_DEBIT,ACH DEBIT NORTHSTAR STAF ID:NSS-106,,Operating ****0042
BK00031,2026-02-27,-145846.88,444555.11,ACH_DEBIT,ADP PAYROLL 5858495 TAX/NET,,Operating ****0042
BK00032,2026-03-02,41702.31,486257.42,ACH_CREDIT,ACH CREDIT APEX MFG INV AR-1031,,Operating ****0042
BK00033,2026-03-02,30746.44,517003.86,ACH_CREDIT,ACH CREDIT BLUEWATER MARINE TRN 2524238,,Operating ****0042
BK00034,2026-03-02,-3200.0,513803.86,ACH_DEBIT,ACH DEBIT VANTAGE SW ID:VS-105,,Operating ****0042
BK00035,2026-03-02,-4100.0,509703.86,ACH_DEBIT,ACH DEBIT HARBOR INS PPD 645194407,,Operating ****0042
BK00036,2026-03-02,-24500.0,485203.86,ACH_DEBIT,ACH DEBIT PINECREST PROP ID:PCP-109,,Operating ****0042
BK00037,2026-03-05,-12400.0,472803.86,ACH_DEBIT,ACH DEBIT BRIGHTLINE LOG ID:INV-7781,,Operating ****0042
BK00038,2026-03-11,33373.93,506177.79,ACH_CREDIT,ACH CREDIT REDWOOD HEALTH TRN 1851952,,Operating ****0042
BK00039,2026-03-11,-19269.98,486907.81,ACH_DEBIT,ACH DEBIT ACME SUPPLY ID:ACM-108,,Operating ****0042
BK00040,2026-03-12,35697.13,522604.94,ACH_CREDIT,ACH CREDIT TIDEWATER FOODS TRN 7594889,,Operating ****0042
BK00041,2026-03-12,-12400.0,510204.94,ACH_DEBIT,ACH DEBIT BRIGHTLINE LOG ID:INV7781,,Operating ****0042
BK00042,2026-03-13,-145957.77,364247.17,ACH_DEBIT,ADP PAYROLL 4535107 TAX/NET,,Operating ****0042
BK00043,2026-03-16,18000.0,382247.17,ACH_CREDIT,ACH CREDIT ORBIT RETAIL GRP SHORTPAY REF AR-1044,,Operating ****0042
BK00044,2026-03-18,58339.68,440586.85,ACH_CREDIT,ACH CREDIT HELIOS MED SYS REMIT 88213,,Operating ****0042
BK00045,2026-03-19,64381.72,504968.57,ACH_CREDIT,ACH CREDIT GRANITE RIDGE TRN 7390135,,Operating ****0042
BK00046,2026-03-19,-4576.48,500392.09,CHECK,CHECK 1022,1022,Operating ****0042
BK00047,2026-03-19,-9480.98,490911.11,ACH_DEBIT,ACH DEBIT NORTHSTAR STAF ID:NSS-109,,Operating ****0042
BK00048,2026-03-20,-1802.11,489109.0,CHECK,CHECK 1024,1024,Operating ****0042
BK00049,2026-03-20,-8712.0,480397.0,WIRE_OUT,WIRE OUT BAUER PRAEZISION BNF ACCT DE89****3000 REF 175931,,Operating ****0042
BK00050,2026-03-23,63782.9,544179.9,ACH_CREDIT,ACH CREDIT STRATOS AERO TRN 4871109,,Operating ****0042
BK00051,2026-03-23,-16880.0,527299.9,WIRE_OUT,WIRE OUT CLOUDNIMBUS INC BNF ACCT ****9921 REF 473937,,Operating ****0042
BK00052,2026-03-24,-3200.0,524099.9,ACH_DEBIT,ACH DEBIT VANTAGE SW ID:VS-107,,Operating ****0042
BK00053,2026-03-31,312.18,524412.08,INTEREST,INTEREST PAYMENT,,Operating ****0042
BK00054,2026-03-31,-45.0,524367.08,FEE,MONTHLY SERVICE FEE ANALYSIS,,Operating ****0042
BK00055,2026-03-31,-139522.29,384844.79,ACH_DEBIT,ADP PAYROLL 9792363 TAX/NET,,Operating ****0042
